frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
2,5.0,[2201.1788110666907 1163.4535185001012 2783.907467406551 1740.8520170892882],[2433.207275390625 1549.7647705078125 2582.28515625 1640.1412353515625],0.33326882123947144,HU51VSU,0.09273032058226156
3,3.0,[748.0783587173065 1378.2311207221624 1424.6948030566396 1996.164469513174],[963.3660278320312 1771.905517578125 1174.11376953125 1863.052490234375],0.29253530502319336,NA13NRU,0.2531853098426251
9,3.0,[737.1985625928132 1396.0504708254578 1425.6083529355033 2026.1469168924489],[942.9678955078125 1792.8349609375 1153.072998046875 1886.0986328125],0.3411204218864441,NA13MRU,0.3947528298574498
10,3.0,[736.5234388894108 1399.0682324683105 1430.5201070722683 2031.7885813088885],[964.127197265625 1798.326416015625 1171.0850830078125 1889.7432861328125],0.26102104783058167,NA13NRU,0.4820516669534226
12,3.0,[727.5475321346248 1404.116149216622 1422.2767629550049 2041.4149230591129],[926.7762451171875 1806.18701171875 1170.945068359375 1905.535888671875],0.27440717816352844,NA13NRU,0.4273593770100801
13,3.0,[726.2982798861431 1404.2621597151742 1420.7562444759374 2043.246074243768],[926.3126220703125 1806.1380615234375 1170.9591064453125 1905.7159423828125],0.27763476967811584,NA13NRU,0.4273593770100801
14,3.0,[725.9480701759107 1407.073837453052 1423.1740367609132 2052.190697438249],[921.98876953125 1810.19287109375 1174.4285888671875 1909.97509765625],0.5043196678161621,NA13NRU,0.7943048122235017
20,5.0,[2198.0921812321326 1196.8977676832626 2825.797450327474 1798.1970254265618],[2436.76171875 1600.5552978515625 2589.4013671875 1693.41650390625],0.27225708961486816,MV51VSU,0.43031086803296353
24,5.0,[2194.226002709697 1198.023229199694 2813.672791087393 1810.2383572418275],[2428.11572265625 1615.0374755859375 2602.735595703125 1710.4771728515625],0.25308647751808167,MV51VSU,0.09963141709989196
28,5.0,[2198.265319257911 1211.754209675316 2814.9988245679006 1819.1414266804627],[2438.08349609375 1622.565673828125 2595.8017578125 1720.7724609375],0.31794804334640503,MV51VSU,0.2725360554479987
35,3.0,[674.2249656259418 1475.4230712087117 1395.861048343074 2129.46671775312],[914.1622314453125 1894.67041015625 1148.421630859375 1995.546630859375],0.30759307742118835,NA13NRU,0.3719441695561609
35,5.0,[2202.284290630844 1233.5022056872253 2825.344992692184 1850.9694009317777],[2448.945556640625 1649.43017578125 2594.895263671875 1739.17822265625],0.2693864107131958,AV51VSU,0.18172340599351966
36,3.0,[671.9413409617978 1480.6196475505203 1393.068322626791 2133.5822753959787],[911.8441772460938 1906.880126953125 1142.94921875 2003.61474609375],0.415151447057724,NA13NRU,0.4155458639097791
37,5.0,[2199.6511888754535 1248.4995494001737 2828.7628021306623 1860.68022447175],[2445.288818359375 1647.462158203125 2611.615966796875 1748.21923828125],0.40640637278556824,MD51VSU,0.032792068284272245
39,5.0,[2203.704181025613 1252.3151238472865 2838.145311571548 1864.6117187632435],[2451.98486328125 1657.99365234375 2603.57861328125 1751.8018798828125],0.2751709818840027,HL51VSU,0.14157887608994363
40,3.0,[668.486664095462 1496.843880286788 1393.3501919188416 2146.542306001532],[902.549560546875 1920.9012451171875 1138.5025634765625 2020.0806884765625],0.45187681913375854,NA13NRU,0.4119978600353309
41,5.0,[2206.7209009821513 1251.094456752061 2846.0225627218592 1868.9942604757548],[2424.148681640625 1665.4156494140625 2604.8876953125 1751.9857177734375],0.30123111605644226,NN51VSU,0.08239356849947689
44,5.0,[2207.081050033972 1251.9978284098697 2853.267070362197 1876.8961090992775],[2466.77685546875 1671.715576171875 2607.34375 1761.9140625],0.2842477858066559,XU51VSU,0.19153114229627613
45,5.0,[2206.3992509364425 1254.2631560395675 2853.2360217003034 1879.0222118603883],[2445.1767578125 1674.12109375 2596.909912109375 1758.517333984375],0.27780357003211975,CO51VSD,0.10018166809630234
46,3.0,[652.6582565563217 1517.900448063158 1382.9837764416513 2152.6062389556087],[900.881103515625 1951.620361328125 1127.58984375 2035.439453125],0.32911938428878784,NA13MRU,0.42708053917721817
47,3.0,[650.7497441300648 1518.8215229076368 1382.4610510111702 2151.1721571935873],[879.2235717773438 1948.7200927734375 1147.414306640625 2056.36962890625],0.3445519804954529,NA13NRU,0.2235204476436789
47,5.0,[2208.2593286252795 1262.1781434255893 2856.155118247032 1888.7474999019685],[2466.65869140625 1683.963134765625 2604.59423828125 1779.700927734375],0.2875475585460663,MU51VSU,0.40249262135661973
50,3.0,[648.9646564720849 1527.0518274718731 1380.3656702277747 2151.36726770267],[868.5159912109375 1958.253173828125 1145.139892578125 2065.046142578125],0.34641972184181213,NA13NRU,0.40683856290149273
53,3.0,[645.9770656691618 1539.6492625031642 1381.364053867369 2152.5174282414428],[894.5843505859375 1982.20166015625 1092.9439697265625 2075.36865234375],0.323731392621994,NA13NPU,0.30718293695715376
54,3.0,[639.6811751393807 1544.045979434927 1379.8754309465362 2152.505534882504],[884.4776000976562 1981.0557861328125 1141.23779296875 2081.8232421875],0.3015829622745514,NA13MRU,0.13354421441341177
55,3.0,[637.6315160429662 1546.441556880312 1380.5109148015772 2151.73829337897],[884.4391479492188 1981.058837890625 1141.18896484375 2081.83349609375],0.29910019040107727,NA13MRU,0.13354421441341177
56,3.0,[636.4030288365368 1550.2569756020562 1378.9410797617134 2152.1646616188677],[880.3324584960938 1990.4249267578125 1115.34521484375 2079.8525390625],0.3861599266529083,NA13NRU,0.18797566897023685
