frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
238,1,2054.8077004047977 1155.487720371285 2584.999336952724 1613.5423256609306,2258.88427734375 1433.5465087890625 2427.27392578125 1520.625732421875,0.2792232036590576,AP05JEO,0.7955679125428109
239,1,2054.576898691634 1157.3566489638822 2585.69268732545 1616.0805928595553,2257.9487017463234 1435.6990392348346 2429.128216911765 1522.928617589614,0,0,0
240,1,2054.34609697847 1159.2255775564795 2586.3860376981756 1618.61886005818,2257.013126148897 1437.8515696806066 2430.9825080422793 1525.231502757353,0,0,0
241,1,2054.1152952653065 1161.0945061490766 2587.0793880709016 1621.1571272568044,2256.0775505514707 1440.0041001263787 2432.836799172794 1527.534387925092,0,0,0
242,1,2053.884493552143 1162.9634347416738 2587.7727384436275 1623.695394455429,2255.141974954044 1442.1566305721508 2434.691090303309 1529.8372730928309,0,0,0
243,1,2053.653691838979 1164.8323633342711 2588.466088816353 1626.2336616540538,2254.2063993566176 1444.3091610179229 2436.5453814338234 1532.14015826057,0,0,0
244,1,2053.4228901258152 1166.7012919268684 2589.159439189079 1628.7719288526785,2253.270823759191 1446.461691463695 2438.3996725643383 1534.4430434283088,0,0,0
245,1,2053.1920884126516 1168.5702205194657 2589.852789561805 1631.3101960513031,2252.335248161765 1448.614221909467 2440.253963694853 1536.7459285960479,0,0,0
246,1,2052.9612866994876 1170.439149112063 2590.5461399345304 1633.8484632499278,2251.3996725643383 1450.766752355239 2442.1082548253676 1539.0488137637867,0,0,0
247,1,2052.730484986324 1172.30807770466 2591.2394903072563 1636.3867304485523,2250.4640969669117 1452.919282801011 2443.9625459558824 1541.3516989315258,0,0,0
248,1,2052.49968327316 1174.1770062972573 2591.932840679982 1638.924997647177,2249.528521369485 1455.071813246783 2445.816837086397 1543.6545840992646,0,0,0
249,1,2052.2688815599963 1176.0459348898546 2592.626191052708 1641.4632648458016,2248.592945772059 1457.224343692555 2447.6711282169117 1545.9574692670037,0,0,0
250,1,2052.0380798468327 1177.914863482452 2593.3195414254337 1644.0015320444263,2247.6573701746324 1459.3768741383271 2449.5254193474266 1548.2603544347426,0,0,0
251,1,2051.8072781336687 1179.7837920750492 2594.012891798159 1646.539799243051,2246.721794577206 1461.5294045840992 2451.379710477941 1550.5632396024816,0,0,0
252,1,2051.576476420505 1181.6527206676465 2594.706242170885 1649.0780664416757,2245.7862189797793 1463.6819350298713 2453.234001608456 1552.8661247702205,0,0,0
253,1,2051.3456747073415 1183.5216492602435 2595.399592543611 1651.6163336403001,2244.850643382353 1465.8344654756434 2455.0882927389707 1555.1690099379596,0,0,0
254,1,2051.1148729941774 1185.3905778528408 2596.0929429163366 1654.1546008389248,2243.9150677849266 1467.9869959214154 2456.942583869485 1557.4718951056984,0,0,0
255,1,2050.884071281014 1187.259506445438 2596.7862932890625 1656.6928680375495,2242.9794921875 1470.1395263671875 2458.796875 1559.7747802734375,0.3482590913772583,AP05JEO,0.4455318265366878
256,1,2051.076190179921 1189.211739786647 2596.771821377489 1659.841227279578,2243.1426595052085 1471.31689453125 2452.2784830729165 1558.76611328125,0,0,0
257,1,2051.268309078828 1191.1639731278558 2596.7573494659146 1662.9895865216067,2243.3058268229165 1472.4942626953125 2445.7600911458335 1557.7574462890625,0,0,0
258,1,2051.4604279777354 1193.1162064690648 2596.742877554341 1666.1379457636353,2243.468994140625 1473.671630859375 2439.24169921875 1556.748779296875,0.3382812738418579,AP05JEO,0.24850293459196085
259,1,2051.040829411689 1193.9086550571658 2596.7902846418087 1667.5580891767834,2243.628173828125 1473.70751953125 2439.24267578125 1556.754638671875,0.3388725221157074,AP05JEO,0.24850293459196085
260,1,2050.6323551370115 1195.9186267037694 2598.0055906677603 1669.8991740905883,2243.972396850586 1475.5323028564453 2441.0282592773438 1559.6193237304688,0,0,0
261,1,2050.2238808623333 1197.9285983503728 2599.2208966937123 1672.240259004393,2244.316619873047 1477.3570861816406 2442.8138427734375 1562.4840087890625,0,0,0
262,1,2049.8154065876556 1199.9385699969764 2600.436202719664 1674.581343918198,2244.660842895508 1479.181869506836 2444.5994262695312 1565.3486938476562,0,0,0
263,1,2049.4069323129775 1201.9485416435798 2601.651508745616 1676.9224288320027,2245.0050659179688 1481.0066528320312 2446.385009765625 1568.21337890625,0,0,0
264,1,2048.9984580382998 1203.9585132901834 2602.8668147715675 1679.2635137458076,2245.3492889404297 1482.8314361572266 2448.1705932617188 1571.0780639648438,0,0,0
265,1,2048.5899837636216 1205.9684849367868 2604.0821207975196 1681.6045986596123,2245.6935119628906 1484.6562194824219 2449.9561767578125 1573.9427490234375,0,0,0
266,1,2048.181509488944 1207.9784565833904 2605.297426823471 1683.9456835734172,2246.0377349853516 1486.4810028076172 2451.7417602539062 1576.8074340820312,0,0,0
267,1,2047.773035214266 1209.988428229994 2606.5127328494227 1686.2867684872222,2246.3819580078125 1488.3057861328125 2453.52734375 1579.672119140625,0,0,0
268,1,2047.364560939588 1211.9983998765974 2607.7280388753748 1688.6278534010269,2246.7261810302734 1490.1305694580078 2455.3129272460938 1582.5368041992188,0,0,0
269,1,2046.9560866649101 1214.008371523201 2608.9433449013263 1690.9689383148318,2247.0704040527344 1491.9553527832031 2457.0985107421875 1585.4014892578125,0,0,0
270,1,2046.5476123902322 1216.0183431698044 2610.1586509272784 1693.3100232286365,2247.4146270751953 1493.7801361083984 2458.8840942382812 1588.2661743164062,0,0,0
